id,type,cycle,watering,seeds,maintenance,growth_rate,drought_tolerant,salt_tolerant,thorny,invasive,tropical,indoor,care_level,flowers,edible_fruit,poisonous_to_humans,poisonous_to_pets,dimension_min,dimension_max,attracts_squirrels,attracts_birds,attracts_bees,attracts_butterflies,attracts_hummingbirds,hardiness_min,hardiness_max,sunlight_simplified
77,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,609.6,609.6,False,False,False,False,False,5,5,Partial Shade
78,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,,False,False,0,0,457.2,457.2,False,False,False,False,False,6,6,Partial Shade
79,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,243.84,243.84,False,False,False,False,False,6,6,Partial Shade
80,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,457.2,457.2,False,False,False,False,False,5,5,Partial Shade
81,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,,False,False,0,0,609.6,609.6,False,False,False,False,False,6,6,Full Sun
82,Tree,Perennial,Average,0,Low,Low,False,False,False,False,False,False,Moderate,True,False,0,0,457.2,457.2,False,False,False,False,False,6,6,Full Sun
83,Tree,Perennial,Frequent,1,Low,Low,False,False,False,False,False,False,Moderate,True,False,0,0,548.64,548.64,False,False,False,False,False,6,6,Partial Shade
84,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,High,False,False,0,0,609.6,609.6,False,False,False,False,False,6,6,Partial Shade
85,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,,False,False,0,0,609.6,609.6,False,False,False,False,False,6,6,Partial Shade
86,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,365.76,365.76,False,False,False,False,False,6,6,Partial Shade
87,Tree,Perennial,Average,0,Missing,Moderate,False,False,False,False,False,False,Moderate,False,False,0,0,243.84,243.84,False,False,False,False,False,6,6,Partial Shade
88,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,121.92,121.92,False,False,False,False,False,5,5,Partial Shade
89,Tree,Perennial,Average,0,Missing,Moderate,False,False,False,False,False,False,Moderate,False,False,0,0,304.8,304.8,False,False,False,False,False,5,5,Partial Shade
90,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,457.2,457.2,False,False,False,False,False,6,6,Partial Shade
